Id=6538; Weight=11; DistrictNumer=3; Date=2024-10-02 17:05:56
Id=1409; Weight=50; DistrictNumer=3; Date=2024-10-02 17:06:18
Id=2385; Weight=46; DistrictNumer=3; Date=2024-10-02 17:07:01
Id=9504; Weight=15; DistrictNumer=3; Date=2024-10-02 17:09:25
Id=3914; Weight=38; DistrictNumer=3; Date=2024-10-02 17:09:46
Id=1488; Weight=28; DistrictNumer=3; Date=2024-10-02 17:10:27
Id=7375; Weight=43; DistrictNumer=3; Date=2024-10-02 17:10:32
Id=344; Weight=24; DistrictNumer=3; Date=2024-10-02 17:16:20
Id=4477; Weight=49; DistrictNumer=3; Date=2024-10-02 17:20:29
Id=4817; Weight=46; DistrictNumer=3; Date=2024-10-02 17:27:26
Id=8430; Weight=38; DistrictNumer=3; Date=2024-10-02 17:28:44
Id=260; Weight=8; DistrictNumer=3; Date=2024-10-02 17:30:24
Id=1586; Weight=6; DistrictNumer=3; Date=2024-10-02 17:33:45
Id=3513; Weight=34; DistrictNumer=3; Date=2024-10-02 17:35:10
Id=2712; Weight=3; DistrictNumer=3; Date=2024-10-02 17:37:02
Id=7567; Weight=32; DistrictNumer=3; Date=2024-10-02 17:39:47
Id=2601; Weight=17; DistrictNumer=3; Date=2024-10-02 17:40:22
Id=9247; Weight=14; DistrictNumer=3; Date=2024-10-02 17:41:04
Id=7707; Weight=22; DistrictNumer=3; Date=2024-10-02 17:41:48
Id=24; Weight=48; DistrictNumer=3; Date=2024-10-02 17:42:19
Id=6700; Weight=2; DistrictNumer=3; Date=2024-10-02 17:45:06
Id=2125; Weight=11; DistrictNumer=3; Date=2024-10-02 17:51:06
Id=7475; Weight=6; DistrictNumer=3; Date=2024-10-02 17:52:59
Id=5479; Weight=31; DistrictNumer=3; Date=2024-10-02 17:54:43
Id=8700; Weight=26; DistrictNumer=3; Date=2024-10-02 17:59:49
